"Peak","Name","Season","Date","Time","Citizenship","Sex","Age","Oxy","Dth","Host","Year"
"EVER","Nima Rita Sherpa (Thami, Khumbu)","1989 Aut","Oct 23","12:30","Nepal","M",31,FALSE,FALSE,"Nepal",1989
"EVER","Nurbu Jangbu Sherpa (Ghat, Khumbu)","1989 Aut","Oct 23","12:30","Nepal","M",35,FALSE,FALSE,"Nepal",1989
"EVER","Phu Dorje Sherpa (Pangboche, Khumbu)","1989 Spr","May 16","15:30","Nepal","M",26,TRUE,TRUE,"Nepal",1989
"EVER","Ricardo Torres Nava","1989 Spr","May 16","15:30","Mexico","M",34,TRUE,FALSE,"Nepal",1989
"EVER","Roderick (Roddy) MacKenzie","1989 Spr","May 24","7:30","Australia","M",27,TRUE,FALSE,"Nepal",1989
"EVER","Sang-Yong Chung","1989 Aut","Oct 23","12:30","S Korea","M",24,TRUE,FALSE,"Nepal",1989
"EVER","Sonam Dendu (Sona Dendu) Sherpa (Khumjung, Khumbu)","1989 Spr","May 24","7:00","Nepal","M",28,TRUE,FALSE,"Nepal",1989
"EVER","Sonam Tshering Sherpa (Beding, Dolakha)","1989 Spr","May 10","17:30","Nepal","M",29,FALSE,FALSE,"Nepal",1989
"EVER","Stipe Bozic","1989 Spr","May 10","17:30","Yugoslavia","M",38,TRUE,FALSE,"Nepal",1989
"EVER","Tchiring Chumbi (Tchiring Thebe) Sherpa (Nupri (Gorkha), Gandaki Zone)","1989 Aut","Oct 13","12:30","Nepal","M",36,TRUE,FALSE,"Nepal",1989
"EVER","Toichiro Mitani","1989 Aut","Oct 13","12:30","Japan","M",33,TRUE,FALSE,"Nepal",1989
"EVER","Viktor (Viki) Groselj","1989 Spr","May 10","17:30","Yugoslavia","M",36,TRUE,FALSE,"Nepal",1989
"EVER","Alain Joel Desez","1990 Aut","Oct 07","12:10","France","M",30,TRUE,FALSE,"Nepal",1990
"EVER","Aleksei Kransnokutsky","1990 Aut","Oct 07","14:30","USSR","M",40,TRUE,FALSE,"Nepal",1990
"EVER","Alexander Tokarev","1990 Spr","May 10","","USSR","M",30,TRUE,FALSE,"China",1990
"EVER","Anatoli Moshnikov","1990 Spr","May 10","","USSR","M",37,FALSE,FALSE,"China",1990
"EVER","Andrei Tselischev","1990 Spr","May 08","","USSR","M",26,FALSE,FALSE,"China",1990
"EVER","Andrej Stremfelj","1990 Aut","Oct 07","13:10","Yugoslavia","M",33,TRUE,FALSE,"Nepal",1990
